track_id,title,artist,album,genre,seed_genre,year,duration_ms,artwork_url,external_url,source,preview_url
apple-1442275050,Jal Jal Jal Oosai (From “Manam Kothi Paravai”),Aalaap Raju & Surmukhi,Po Po Po - Tamil Hits of 2012,Soundtrack,tamil,2012.0,285027,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/61/c4/97/61c49765-c417-03c0-f490-1deefbdd81a3/00602537329441.rgb.jpg/100x100bb.jpg,https://music.apple.com/in/album/jal-jal-jal-oosai-from-manam-kothi-paravai/1442274767?i=1442275050&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a6/7d/9d/a67d9de4-bb79-190a-f069-caddead39e7f/mzaf_15062737460409035856.plus.aac.p.m4a
apple-1589244166,Yaathi Yaathi,"Abhishek C S, Yazin Nizar & Anuradha Sriram",Yaathi Yaathi - Single,Indian Pop,tamil,2021.0,239625,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/96/2a/fa/962aface-2480-c833-dc88-cdb3991d77ac/886449603251.jpg/100x100bb.jpg,https://music.apple.com/in/album/yaathi-yaathi/1589243968?i=1589244166&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5b/0a/68/5b0a68d8-3d49-41c1-c936-4cb2e429ede8/mzaf_6137889256989658142.plus.aac.p.m4a
apple-997702983,"Vor Parvai Parthu (From ""Yennai Theriyuma"")",Achu & Sriram Parthasarathy,2008 Top Tamil Hits,Tamil,tamil,2008.0,254173,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/ed/89/b9/ed89b928-7a65-1bd3-4cc6-30653b84cdbb/886445292183.jpg/100x100bb.jpg,https://music.apple.com/in/album/vor-parvai-parthu-from-yennai-theriyuma/997702961?i=997702983&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/fc/7c/f8/fc7cf828-3fdf-3265-840a-a7d5364472a4/mzaf_1379244498969914505.plus.aac.p.m4a
apple-1737162158,Nenjin Ezhuth,Adarsh Krishnan N & Vidya Lakshmi G,Nenjin Ezhuth - Single,Indian Pop,tamil,2022.0,229399,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d4/96/9b/d4969ba7-ed6c-4020-8258-cfcbe73f9c1c/5063010472552.jpg/100x100bb.jpg,https://music.apple.com/in/album/nenjin-ezhuth/1737162143?i=1737162158&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/37/cd/e2/37cde2d9-92b2-4d62-7cea-ec3aa098bf31/mzaf_7419473381587840711.plus.aac.p.m4a
apple-1846537706,"Arasan Theme (From ""Arasan"")",Anirudh Ravichander,"Arasan Theme (From ""Arasan"") - Single",Tamil,tamil,2025.0,94570,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/43/15/1e/43151eda-db8e-b9f5-2e23-9f17859be197/199806157299.jpg/100x100bb.jpg,https://music.apple.com/in/album/arasan-theme-from-arasan/1846537701?i=1846537706&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/df/d1/7f/dfd17f1b-959a-9d59-b8dd-55bbf4602ddb/mzaf_3520575010578681997.plus.aac.p.m4a
apple-1742952273,"Coolie Disco (From ""Coolie"")",Anirudh Ravichander,"Coolie Disco (From ""Coolie"") - Single",Tamil,tamil,2024.0,129286,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/53/e8/48/53e84899-0607-5e6b-2ebd-a8e56cf54771/198391933981.jpg/100x100bb.jpg,https://music.apple.com/in/album/coolie-disco-from-coolie/1742952260?i=1742952273&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/db/94/7f/db947f42-afc5-7af9-d5a4-9ac116b385e6/mzaf_11202371384103440326.plus.aac.p.m4a
apple-1774144604,"Dheema (From ""Love Insurance Kompany"")",Anirudh Ravichander,"Dheema (From ""Love Insurance Kompany"") - Single",Tamil,tamil,2024.0,235102,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/35/b4/a5/35b4a588-2f23-7ddc-b56c-6df5759c4eb8/196872562651.jpg/100x100bb.jpg,https://music.apple.com/in/album/dheema-from-love-insurance-kompany/1774144601?i=1774144604&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e0/3f/e1/e03fe1b4-25e5-a960-6129-092aa2dc1474/mzaf_15399118819124515247.plus.aac.p.m4a
apple-966470347,"Enakenna Yaarum Illaye (From ""Aakko"")",Anirudh Ravichander,"Enakenna Yaarum Illaye (From ""Aakko"") - Single",Tamil,tamil,2015.0,260813,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/de/20/8f/de208fad-1cb0-1b70-21e6-ae759dd6a8d9/886445099348.jpg/100x100bb.jpg,https://music.apple.com/in/album/enakenna-yaarum-illaye-from-aakko/966470346?i=966470347&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/3d/94/5c/3d945cc7-2d72-67dc-105b-06a903a5fef8/mzaf_2022154450884278421.plus.aac.p.m4a
apple-1790376958,"Hukum Reloaded (From ""Jailer 2"")",Anirudh Ravichander,"Hukum Reloaded (From ""Jailer 2"") - Single",Tamil,tamil,2025.0,91765,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e3/4f/b5/e34fb51f-ffec-d86e-e1e6-e228ca3b3bc0/199066549353.jpg/100x100bb.jpg,https://music.apple.com/in/album/hukum-reloaded-from-jailer-2/1790376515?i=1790376958&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b5/69/f1/b569f150-39b3-bee8-ab8c-37ce4cdf7098/mzaf_17364637415823250020.plus.aac.p.m4a
apple-1624359430,Once Upon a Time,Anirudh Ravichander,Vikram (Original Motion Picture Soundtrack),Tamil,tamil,2022.0,143710,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/41/41/01/41410135-baa0-1aab-7417-f6746b0f3c25/196589186973.jpg/100x100bb.jpg,https://music.apple.com/in/album/once-upon-a-time/1624359269?i=1624359430&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b5/44/51/b544514e-09b8-4c78-5cca-9fe1a58ff29c/mzaf_16870980902555305894.plus.aac.p.m4a
